Ticker,Company,Fiscal Years Analyzed,Average Annual Net Share Reduction Yield %,Cumulative Diluted Share Count Change %,Years Net Reduction,Years Net Dilution,Years Neutral,Overall Classification,Project Buyback Effectiveness Score,Insufficient Data,Data Quality Notes
AAPL,Apple,3,2.7733,-8.0922,3,0,0,Net Share Reduction,67.28,False,
GOOGL,Alphabet,3,2.4086,-7.0598,3,0,0,Net Share Reduction,63.75,False,
JPM,JPMorgan Chase,3,2.1568,-6.3468,3,0,0,Net Share Reduction,61.32,False,
META,Meta Platforms,3,1.6008,-4.7372,3,0,0,Net Share Reduction,55.88,False,
NVDA,NVIDIA,3,0.7443,-2.2178,3,0,0,Net Share Reduction,47.41,False,
MSFT,Microsoft,3,0.0848,-0.2543,1,0,2,Net Share Reduction,24.18,False,
COST,Costco,3,-0.0035,0.0103,0,0,3,Flat / Neutral,15.0,False,
TSLA,Tesla,3,-0.737,1.4748,1,2,0,Net Dilution,8.33,False,
PLTR,Palantir Technologies,3,-7.606,24.4767,0,3,0,Net Dilution,0.0,False,
AMZN,Amazon,3,-2.0484,6.2617,0,3,0,Net Dilution,0.0,False,
